Date,ID,tank,SDR_position,RUN,Day_Trial,Treat1_Treat2,number_indivs,mean_size,stdev_size
20180716,H0_T_A1,H0_T,A1,1,2_1,Low,10,5.11,0.789080618
20180716,H0_T_A2,H0_T,A2,1,2_1,Low,10,4.8881,0.48520155
20180716,H0_T_A3,H0_T,A3,1,2_1,Low,10,5.0461,0.646158985
20180716,H1_T_A4,H1_T,A4,1,2_1,Ambient,10,5.4484,0.513445918
20180716,H1_T_A5,H1_T,A5,1,2_1,Ambient,10,4.6701,0.484538601
20180716,H1_T_A6,H1_T,A6,1,2_1,Ambient,10,4.7848,0.41064659
20180716,H0_B_B1,H0_B,B1,1,2_1,Low,10,4.955222222,0.76225435
20180716,H0_B_B2,H0_B,B2,1,2_1,Low,10,4.542333333,0.527640503
20180716,H0_B_B3,H0_B,B3,1,2_1,Low,10,4.8361,0.731635831
20180716,H1_B_B4,H1_B,B4,1,2_1,Ambient,10,5.2358,0.62373406
20180716,H1_B_B5,H1_B,B5,1,2_1,Ambient,10,4.8474,0.626882622
20180716,H1_B_B6,H1_B,B6,1,2_1,Ambient,10,4.8124,0.642795319
20180716,H0_T_blank_C1,H0_T_blank,C1,1,2_1,Low,10,NA,NA
20180716,H0_T_blank_C2,H0_T_blank,C2,1,2_1,Low,10,NA,NA
20180716,H0_T_blank_C3,H0_T_blank,C3,1,2_1,Low,10,NA,NA
20180716,H1_T_blank_C4,H1_T_blank,C4,1,2_1,Ambient,10,NA,NA
20180716,H1_T_blank_C5,H1_T_blank,C5,1,2_1,Ambient,10,NA,NA
20180716,H1_T_blank_C6,H1_T_blank,C6,1,2_1,Ambient,10,NA,NA
20180716,H0_B_blank_D1,H0_B_blank,D1,1,2_1,Low,10,NA,NA
20180716,H0_B_blank_D2,H0_B_blank,D2,1,2_1,Low,10,NA,NA
20180716,H0_B_blank_D3,H0_B_blank,D3,1,2_1,Low,10,NA,NA
20180716,H1_B_blank_D4,H1_B_blank,D4,1,2_1,Ambient,10,NA,NA
20180716,H1_B_blank_D5,H1_B_blank,D5,1,2_1,Ambient,10,NA,NA
20180716,H1_B_blank_D6,H1_B_blank,D6,1,2_1,Ambient,10,NA,NA
20180716,H2_T_A1,H2_T,A1,2,2_1,Ambient,10,5.3568,0.578412348
20180716,H2_T_A2,H2_T,A2,2,2_1,Ambient,10,5.198666667,0.502254666
20180716,H2_T_A3,H2_T,A3,2,2_1,Ambient,10,5.0571,0.632988406
20180716,H3_T_A4,H3_T,A4,2,2_1,Low,10,5.141,1.102219276
20180716,H3_T_A5,H3_T,A5,2,2_1,Low,10,5.047,0.626443932
20180716,H3_T_A6,H3_T,A6,2,2_1,Low,10,5.555,0.805278282
20180716,H2_B_B1,H2_B,B1,2,2_1,Ambient,10,5.2332,0.633533617
20180716,H2_B_B2,H2_B,B2,2,2_1,Ambient,10,5.1857,0.707673347
20180716,H2_B_B3,H2_B,B3,2,2_1,Ambient,10,5.0895,0.666986798
20180716,H3_B_B4,H3_B,B4,2,2_1,Low,10,5.2077,0.357929555
20180716,H3_B_B5,H3_B,B5,2,2_1,Low,10,5.4425,0.692098781
20180716,H3_B_B6,H3_B,B6,2,2_1,Low,10,5.135222222,0.556309441
20180716,H2_T_blank_C1,H2_T_blank,C1,2,2_1,Ambient,10,NA,NA
20180716,H2_T_blank_C2,H2_T_blank,C2,2,2_1,Ambient,10,NA,NA
20180716,H2_T_blank_C3,H2_T_blank,C3,2,2_1,Ambient,10,NA,NA
20180716,H3_T_blank_C4,H3_T_blank,C4,2,2_1,Low,10,NA,NA
20180716,H3_T_blank_C5,H3_T_blank,C5,2,2_1,Low,10,NA,NA
20180716,H3_T_blank_C6,H3_T_blank,C6,2,2_1,Low,10,NA,NA
20180716,H2_B_blank_D1,H2_B_blank,D1,2,2_1,Ambient,10,NA,NA
20180716,H2_B_blank_D2,H2_B_blank,D2,2,2_1,Ambient,10,NA,NA
20180716,H2_B_blank_D3,H2_B_blank,D3,2,2_1,Ambient,10,NA,NA
20180716,H3_B_blank_D4,H3_B_blank,D4,2,2_1,Low,10,NA,NA
20180716,H3_B_blank_D5,H3_B_blank,D5,2,2_1,Low,10,NA,NA
20180716,H3_B_blank_D6,H3_B_blank,D6,2,2_1,Low,10,NA,NA
20180719,H0_T_A1,H0_T,A1,1,5_1,Low,10,5.2944,0.311382295
20180719,H0_T_A2,H0_T,A2,1,5_1,Low,10,5.1528,0.550306339
20180719,H0_T_A3,H0_T,A3,1,5_1,Low,10,4.7914,0.455908909
20180719,H1_T_A4,H1_T,A4,1,5_1,Ambient,10,5.0174,0.801409481
20180719,H1_T_A5,H1_T,A5,1,5_1,Ambient,10,5.0243,0.601912332
20180719,H1_T_A6,H1_T,A6,1,5_1,Ambient,10,5.252,0.522592044
20180719,H0_B_B1,H0_B,B1,1,5_1,Low,10,4.8237,0.754307048
20180719,H0_B_B2,H0_B,B2,1,5_1,Low,10,4.9948,0.671066614
20180719,H0_B_B3,H0_B,B3,1,5_1,Low,10,4.7994,0.690766595
20180719,H1_B_B4,H1_B,B4,1,5_1,Ambient,10,5.0138,0.591599677
20180719,H1_B_B5,H1_B,B5,1,5_1,Ambient,10,5.1337,0.628958584
20180719,H1_B_B6,H1_B,B6,1,5_1,Ambient,10,4.9275,0.628126005
20180719,H0_T_blank_C1,H0_T_blank,C1,1,5_1,Low,10,NA,NA
20180719,H0_T_blank_C2,H0_T_blank,C2,1,5_1,Low,10,NA,NA
20180719,H0_T_blank_C3,H0_T_blank,C3,1,5_1,Low,10,NA,NA
20180719,H1_T_blank_C4,H1_T_blank,C4,1,5_1,Ambient,10,NA,NA
20180719,H1_T_blank_C5,H1_T_blank,C5,1,5_1,Ambient,10,NA,NA
20180719,H1_T_blank_C6,H1_T_blank,C6,1,5_1,Ambient,10,NA,NA
20180719,H0_B_blank_D1,H0_B_blank,D1,1,5_1,Low,10,NA,NA
20180719,H0_B_blank_D2,H0_B_blank,D2,1,5_1,Low,10,NA,NA
20180719,H0_B_blank_D3,H0_B_blank,D3,1,5_1,Low,10,NA,NA
20180719,H1_B_blank_D4,H1_B_blank,D4,1,5_1,Ambient,10,NA,NA
20180719,H1_B_blank_D5,H1_B_blank,D5,1,5_1,Ambient,10,NA,NA
20180719,H1_B_blank_D6,H1_B_blank,D6,1,5_1,Ambient,10,NA,NA
20180719,H2_T_A1,H2_T,A1,2,5_1,Ambient,10,5.2024,0.416551237
20180719,H2_T_A2,H2_T,A2,2,5_1,Ambient,10,4.743,0.679129017
20180719,H2_T_A3,H2_T,A3,2,5_1,Ambient,10,4.7867,0.646806351
