Sample.ID,Date,RUN,SDR_position,b1.Lpc,alpha,Notes,ID,tank,Day_Trial,Treat1_Treat2,number_indivs,mean_size,stdev_size
20180716_A1_1,20180716,1,A1,-2.883977591,0.4,10-20min,H0_T_A1,H0_T,2_1,Low,10,5.11,0.789080618
20180716_A1_2,20180716,2,A1,-2.102676692,0.4,10-20min,H2_T_A1,H2_T,2_1,Ambient,10,5.3568,0.578412348
20180716_A2_1,20180716,1,A2,-2.751425516,0.4,10-20min,H0_T_A2,H0_T,2_1,Low,10,4.8881,0.48520155
20180716_A2_2,20180716,2,A2,-2.738207283,0.4,10-20min,H2_T_A2,H2_T,2_1,Ambient,10,5.198666667,0.502254666
20180716_A3_1,20180716,1,A3,-2.434488989,0.4,10-20min,H0_T_A3,H0_T,2_1,Low,10,5.0461,0.646158985
20180716_A3_2,20180716,2,A3,-2.284434783,0.4,10-20min,H2_T_A3,H2_T,2_1,Ambient,10,5.0571,0.632988406
20180716_A4_1,20180716,1,A4,-4.214,0.4,10-20min,H1_T_A4,H1_T,2_1,Ambient,10,5.4484,0.513445918
20180716_A4_2,20180716,2,A4,-3.209930502,0.4,10-20min,H3_T_A4,H3_T,2_1,Low,10,5.141,1.102219276
20180716_A5_1,20180716,1,A5,-2.494945055,0.4,10-20min,H1_T_A5,H1_T,2_1,Ambient,10,4.6701,0.484538601
20180716_A5_2,20180716,2,A5,-4.991892552,0.4,10-20min,H3_T_A5,H3_T,2_1,Low,10,5.047,0.626443932
20180716_A6_1,20180716,1,A6,-3.735375494,0.4,10-20min,H1_T_A6,H1_T,2_1,Ambient,10,4.7848,0.41064659
20180716_A6_2,20180716,2,A6,-3.588236453,0.4,10-20min,H3_T_A6,H3_T,2_1,Low,10,5.555,0.805278282
20180716_B1_1,20180716,1,B1,-2.149015385,0.4,10-20min,H0_B_B1,H0_B,2_1,Low,10,4.955222222,0.76225435
20180716_B1_2,20180716,2,B1,-3.990112821,0.4,10-20min,H2_B_B1,H2_B,2_1,Ambient,10,5.2332,0.633533617
20180716_B2_1,20180716,1,B2,-2.951960784,0.4,10-20min,H0_B_B2,H0_B,2_1,Low,10,4.542333333,0.527640503
20180716_B2_2,20180716,2,B2,-3.684984615,0.4,10-20min,H2_B_B2,H2_B,2_1,Ambient,10,5.1857,0.707673347
20180716_B3_1,20180716,1,B3,-3.153241379,0.4,10-20min,H0_B_B3,H0_B,2_1,Low,10,4.8361,0.731635831
20180716_B3_2,20180716,2,B3,-2.105431959,0.4,10-20min,H2_B_B3,H2_B,2_1,Ambient,10,5.0895,0.666986798
20180716_B4_1,20180716,1,B4,-2.941391304,0.4,10-20min,H1_B_B4,H1_B,2_1,Ambient,10,5.2358,0.62373406
20180716_B4_2,20180716,2,B4,-2.440700602,0.4,10-20min,H3_B_B4,H3_B,2_1,Low,10,5.2077,0.357929555
20180716_B5_1,20180716,1,B5,-2.294061538,0.4,10-20min,H1_B_B5,H1_B,2_1,Ambient,10,4.8474,0.626882622
20180716_B5_2,20180716,2,B5,-2.512041598,0.4,10-20min,H3_B_B5,H3_B,2_1,Low,10,5.4425,0.692098781
20180716_B6_1,20180716,1,B6,-4.148791209,0.4,10-20min,H1_B_B6,H1_B,2_1,Ambient,10,4.8124,0.642795319
20180716_B6_2,20180716,2,B6,-1.986886957,0.4,10-20min,H3_B_B6,H3_B,2_1,Low,10,5.135222222,0.556309441
20180716_C1_1,20180716,1,C1,-1.47496225,0.4,10-20min,H0_T_blank_C1,H0_T_blank,2_1,Low,10,NA,NA
20180716_C1_2,20180716,2,C1,-1.263538462,0.4,10-20min,H2_T_blank_C1,H2_T_blank,2_1,Ambient,10,NA,NA
20180716_C2_1,20180716,1,C2,-1.184347826,0.4,10-20min,H0_T_blank_C2,H0_T_blank,2_1,Low,10,NA,NA
20180716_C2_2,20180716,2,C2,-1.560854839,0.4,10-20min,H2_T_blank_C2,H2_T_blank,2_1,Ambient,10,NA,NA
20180716_C3_1,20180716,1,C3,-0.62991453,0.4,10-20min,H0_T_blank_C3,H0_T_blank,2_1,Low,10,NA,NA
20180716_C3_2,20180716,2,C3,-1.768351648,0.4,10-20min,H2_T_blank_C3,H2_T_blank,2_1,Ambient,10,NA,NA
20180716_C4_1,20180716,1,C4,-0.784144551,0.4,10-20min,H1_T_blank_C4,H1_T_blank,2_1,Ambient,10,NA,NA
20180716_C4_2,20180716,2,C4,-1.38634683,0.4,10-20min,H3_T_blank_C4,H3_T_blank,2_1,Low,10,NA,NA
20180716_C5_1,20180716,1,C5,-0.924938121,0.4,10-20min,H1_T_blank_C5,H1_T_blank,2_1,Ambient,10,NA,NA
20180716_C5_2,20180716,2,C5,-1.766001528,0.4,10-20min,H3_T_blank_C5,H3_T_blank,2_1,Low,10,NA,NA
20180716_C6_1,20180716,1,C6,-1.638035008,0.4,10-20min,H1_T_blank_C6,H1_T_blank,2_1,Ambient,10,NA,NA
20180716_C6_2,20180716,2,C6,-1.917437152,0.4,10-20min,H3_T_blank_C6,H3_T_blank,2_1,Low,10,NA,NA
20180716_D1_1,20180716,1,D1,-1.279714286,0.4,10-20min,H0_B_blank_D1,H0_B_blank,2_1,Low,10,NA,NA
20180716_D1_2,20180716,2,D1,-1.518386555,0.4,10-20min,H2_B_blank_D1,H2_B_blank,2_1,Ambient,10,NA,NA
20180716_D2_1,20180716,1,D2,-1.508281074,0.4,10-20min,H0_B_blank_D2,H0_B_blank,2_1,Low,10,NA,NA
20180716_D2_2,20180716,2,D2,-1.300901451,0.4,10-20min,H2_B_blank_D2,H2_B_blank,2_1,Ambient,10,NA,NA
20180716_D3_1,20180716,1,D3,-1.348121739,0.4,10-20min,H0_B_blank_D3,H0_B_blank,2_1,Low,10,NA,NA
20180716_D3_2,20180716,2,D3,-1.530829641,0.4,10-20min,H2_B_blank_D3,H2_B_blank,2_1,Ambient,10,NA,NA
20180716_D4_1,20180716,1,D4,-1.108916345,0.4,10-20min,H1_B_blank_D4,H1_B_blank,2_1,Ambient,10,NA,NA
